2024-10-21 21:48:41 [Thread-0] INFO  by.bsuir.domain.Ship - The ship №0 added to the dock "0'st('th) dock"
2024-10-21 21:48:42 [Thread-3] INFO  by.bsuir.domain.Ship - The ship №3 added to the dock "1'st('th) dock"
2024-10-21 21:48:43 [Thread-0] INFO  by.bsuir.domain.Ship - The ship №0 left the port
2024-10-21 21:48:44 [Thread-1] INFO  by.bsuir.domain.Ship - The ship №1 added to the dock "0'st('th) dock"
2024-10-21 21:48:45 [Thread-3] INFO  by.bsuir.domain.Ship - The ship №3 left the port
2024-10-21 21:48:47 [Thread-2] INFO  by.bsuir.domain.Ship - The ship №2 added to the dock "1'st('th) dock"
2024-10-21 21:48:48 [Thread-1] INFO  by.bsuir.domain.Ship - The ship №1 left the port
2024-10-21 21:48:50 [Thread-2] INFO  by.bsuir.domain.Ship - The ship №2 left the port
2024-10-21 21:48:52 [Thread-2] INFO  by.bsuir.domain.Ship - The ship №4 added to the dock "0'st('th) dock"
2024-10-21 21:48:55 [Thread-2] INFO  by.bsuir.domain.Ship - The ship №4 left the port
2024-10-23 21:29:16 [Thread-1] INFO  by.bsuir.domain.Ship - [LOADING] [3160.925755974429 tons] The ship №1 added to the dock "0'st('th) dock"
2024-10-23 21:29:17 [Thread-1] INFO  by.bsuir.domain.Ship - [LOADED] The ship №1 left the port
2024-10-23 21:29:17 [Thread-5] INFO  by.bsuir.domain.Ship - [UNLOADING] [3894.916250884189 tons] The ship №5 added to the dock "0'st('th) dock"
2024-10-23 21:29:18 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADING] [201.0802023571802 tons] The ship №2 added to the dock "1'st('th) dock"
2024-10-23 21:29:19 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №2 left the port
2024-10-23 21:29:20 [Thread-3] INFO  by.bsuir.domain.Ship - [LOADING] [2575.5212662961394 tons] The ship №3 added to the dock "1'st('th) dock"
2024-10-23 21:29:21 [Thread-5] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №5 left the port
2024-10-23 21:29:21 [Thread-0] INFO  by.bsuir.domain.Ship - [LOADING] [3753.5657581301116 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 21:29:23 [Thread-0] INFO  by.bsuir.domain.Ship - [LOADED] The ship №0 left the port
2024-10-23 21:29:24 [Thread-3] INFO  by.bsuir.domain.Ship - [LOADED] The ship №3 left the port
2024-10-23 21:29:25 [Thread-5] INFO  by.bsuir.domain.Ship - [UNLOADING] [2111.2189121699594 tons] The ship №4 added to the dock "0'st('th) dock"
2024-10-23 21:29:29 [Thread-5] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №4 left the port
2024-10-23 21:31:12 [Thread-13] INFO  by.bsuir.domain.Ship - [LOADING] [3753.5657581301116 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 21:31:13 [Thread-17] INFO  by.bsuir.domain.Ship - [UNLOADING] [2111.2189121699594 tons] The ship №4 added to the dock "1'st('th) dock"
2024-10-23 21:31:14 [Thread-13] INFO  by.bsuir.domain.Ship - [LOADED] The ship №0 left the port
